"CONFRONTO_CASA","CONFRONTO_FORA","posse_casa","posse_fora","ataques_casa","ataques_fora","ataques_perigosos_casa","ataques_perigosos_fora","ResultFT"
Coritiba,Flamengo,"36","64","55","91","25","37",FORA
Grêmio,Corinthians,"57","43","83","92","45","23",EMPATE
Vasco da Gama,Sport Recife,"44","56","60","59","23","30",CASA
Internacional,Santos,"60","40","91","52","48","18",CASA
São Paulo,Fortaleza,"50","50","73","75","36","34",CASA
Fluminense,Palmeiras,"56","44","90","89","47","50",EMPATE
Ceará,Grêmio,"44","56","62","74","24","27",EMPATE
Bahia,Coritiba,"41","59","75","83","38","44",CASA
Atlético GO,Flamengo,"41","59","59","93","28","41",CASA
Bragantino,Botafogo,"54","46","106","88","59","29",EMPATE
Atlético Mineiro,Corinthians,"58","42","87","67","56","18",CASA
Athletico PR,Goiás,"70","30","98","55","42","17",CASA
Grêmio,Fluminense,"52","48","105","98","35","34",CASA
Flamengo,Atlético Mineiro,"58","42","100","87","47","44",FORA
Santos,Bragantino,"48","52","80","82","46","64",EMPATE
Sport Recife,Ceará,"45","55","91","102","31","33",CASA
Coritiba,Internacional,"42","58","72","87","24","39",FORA
Fortaleza,Athletico PR,"42","58","63","68","30","21",FORA
Internacional,Atlético Mineiro,"64","36","69","68","39","21",CASA
Cruzeiro,Palmeiras,"60","40","77","73","27","36",FORA
Fortaleza,Bahia,"58","42","69","61","23","33",CASA
Corinthians,Fluminense,"58","42","105","81","58","30",FORA
Santos,Flamengo,"53","47","65","70","45","40",CASA
Vasco da Gama,Chapecoense,"51","49","56","44","37","22",EMPATE
Botafogo,Ceará,"49","51","73","68","41","47",EMPATE
Avaí,Athletico PR,"44","56","82","70","35","38",EMPATE
Goiás,Grêmio,"48","52","77","77","40","28",CASA
CSA,São Paulo,"50","50","78","78","37","27",FORA
Flamengo,Avaí,"61","39","78","76","41","21",CASA
Grêmio,Cruzeiro,"57","43","75","65","31","31",CASA
Palmeiras,Goiás,"44","56","78","83","47","49",CASA
Bahia,Vasco da Gama,"51","49","74","62","44","33",EMPATE
São Paulo,Internacional,"48","52","84","104","41","38",CASA
Fluminense,Fortaleza,"56","44","89","77","42","22",EMPATE
Chapecoense,CSA,"54","46","98","72","40","21",CASA
Atlético Mineiro,Botafogo,"46","54","69","68","43","35",CASA
Ceará,Corinthians,"40","60","41","52","21","23",FORA
Athletico PR,Santos,"51","49","81","74","41","28",CASA
Vasco da Gama,Cruzeiro,"45","55","56","61","24","33",CASA
Grêmio,São Paulo,"51","49","83","64","39","32",CASA
Santos,Chapecoense,"68","32","90","46","58","31",CASA
Atlético Mineiro,Corinthians,"47","53","55","56","30","32",CASA
CSA,Bahia,"46","54","79","76","33","34",FORA
Palmeiras,Flamengo,"47","53","70","87","32","32",FORA
Avaí,Fluminense,"46","54","72","69","21","26",EMPATE
Goiás,Fortaleza,"59","41","93","78","51","26",FORA
Botafogo,Internacional,"48","52","81","69","51","49",FORA
Cruzeiro,CSA,"72","28","82","55","50","16",FORA
São Paulo,Vasco da Gama,"55","45","79","65","43","25",CASA
Fortaleza,Santos,"37","63","49","72","18","39",CASA
Fluminense,Palmeiras,"49","51","61","75","34","45",CASA
Corinthians,Avaí,"65","35","94","65","49","22",CASA
Flamengo,Ceará,"67","33","90","57","59","19",CASA
Athletico PR,Grêmio,"54","46","81","74","37","20",CASA
Bahia,Atlético Mineiro,"57","43","76","74","52","37",EMPATE
Internacional,Goiás,"64","36","87","80","48","34",FORA
Chapecoense,Botafogo,"58","42","69","65","39","22",FORA
CSA,Fluminense,"46","54","91","91","35","43",FORA
Internacional,Fortaleza,"57","43","84","71","47","28",EMPATE
Ceará,São Paulo,"54","46","68","48","38","20",EMPATE
Avaí,Chapecoense,"60","40","82","65","28","24",FORA
Botafogo,Corinthians,"32","68","76","76","40","57",CASA
Atlético Mineiro,Athletico PR,"44","56","70","70","49","33",FORA
Palmeiras,Grêmio,"44","56","79","109","40","30",FORA
Goiás,Bahia,"47","53","87","87","38","40",CASA
Santos,Cruzeiro,"57","43","85","79","46","31",CASA
Cruzeiro,Avaí,"73","27","91","52","55","23",EMPATE
Vasco da Gama,Goiás,"47","53","63","57","39","28",EMPATE
Fortaleza,CSA,"64","36","65","53","26","19",CASA
Corinthians,Internacional,"46","54","77","86","29","34",EMPATE
Chapecoense,Ceará,"43","57","59","83","22","36",CASA
Athletico PR,Botafogo,"58","42","81","74","38","28",CASA
Grêmio,Flamengo,"66","34","95","61","50","18",FORA
Bahia,Palmeiras,"44","56","63","76","29","47",EMPATE
Fluminense,Atlético Mineiro,"47","53","78","71","32","31",EMPATE
Santos,São Paulo,"46","54","83","87","44","49",EMPATE
Flamengo,Vasco da Gama,"59","41","101","61","39","20",EMPATE
Botafogo,Avaí,"46","54","67","74","47","46",CASA
Fortaleza,Ceará,"38","62","45","67","12","35",CASA
Chapecoense,Grêmio,"50","50","74","77","31","41",FORA
CSA,Vasco da Gama,"66","34","78","71","37","19",FORA
Flamengo,Bahia,"65","35","79","70","43","16",CASA
Internacional,Fluminense,"42","58","72","87","39","57",CASA
Cruzeiro,Atlético Mineiro,"58","42","78","69","36","34",EMPATE
São Paulo,Athletico PR,"57","43","82","86","42","43",FORA
Palmeiras,Corinthians,"61","39","67","62","40","20",EMPATE
Goiás,Santos,"44","56","79","94","29","39",FORA
Grêmio,CSA,"63","37","111","55","46","20",CASA
Botafogo,Flamengo,"31","69","70","70","38","55",FORA
Ceará,Internacional,"44","56","63","63","26","33",CASA
São Paulo,Fluminense,"58","42","92","72","53","26",FORA
Vasco da Gama,Palmeiras,"45","55","52","55","30","28",FORA
Bahia,Chapecoense,"64","36","107","77","58","16",EMPATE
Athletico PR,Cruzeiro,"58","42","74","75","46","27",EMPATE
Avaí,Santos,"54","46","81","75","35","31",FORA
Atlético Mineiro,Goiás,"53","47","74","61","41","33",CASA
Corinthians,Fortaleza,"56","44","84","67","44","23",CASA
Goiás,Avaí,"53","47","86","93","40","35",CASA
Cruzeiro,Bahia,"63","37","75","55","41","26",EMPATE
Santos,Botafogo,"59","41","76","58","52","33",CASA
Grêmio,Internacional,"62","38","87","58","35","19",CASA
Athletico PR,CSA,"64","36","74","73","58","21",CASA
Flamengo,Corinthians,"67","33","89","66","49","15",CASA
Chapecoense,São Paulo,"57","43","105","103","75","62",FORA
Palmeiras,Ceará,"55","45","75","65","33","24",CASA
Fluminense,Vasco da Gama,"64","36","88","61","50","31",EMPATE
Fortaleza,Atlético Mineiro,"54","46","65","62","29","29",EMPATE
Internacional,Athletico PR,"56","44","87","79","29","37",EMPATE
Botafogo,Cruzeiro,"61","39","91","93","65","42",FORA
Goiás,Flamengo,"43","57","71","76","40","36",EMPATE
Santos,Bahia,"65","35","70","68","56","35",CASA
Ceará,Fluminense,"36","64","55","80","21","46",CASA
Vasco da Gama,Grêmio,"47","53","60","70","33","28",FORA
CSA,Corinthians,"45","55","84","94","33","35",CASA
Atlético Mineiro,Chapecoense,"65","35","73","57","43","20",FORA
Palmeiras,São Paulo,"39","61","68","67","30","33",CASA
Avaí,Fortaleza,"50","50","88","81","39","23",FORA
