"CONFRONTO_CASA","CONFRONTO_FORA","posse_dif_casa","posse_dif_fora","ataques_dif_casa","ataques_dif_fora","ataques_perigosos_dif_casa","ataques_perigosos_dif_fora","chutes_livres_dif_casa","chutes_livres_dif_fora","conjunto_de_peças_dif_casa","conjunto_de_peças_dif_fora","penaltis_dif_casa","penaltis_dif_fora","tiros_fora_do_alvo_dif_casa","tiros_fora_do_alvo_dif_fora","chaves_dif_casa","chaves_dif_fora","cantos_dif_casa","cantos_dif_fora","faltas_dif_casa","faltas_dif_fora","ResultFT"
Palmeiras,Vasco da Gama,10,0,11,0,11,0,0,1,0,7,3,0,5,0,0,3,0,1,2,0,EMPATE
São Paulo,Chapecoense,0,2,0,3,12,0,0,9,0,3,1,0,3,0,1,0,2,0,9,0,CASA
Avaí,Goiás,8,0,7,0,8,0,0,0,0,0,2,0,4,0,0,6,2,0,1,0,EMPATE
Atlético Mineiro,Fortaleza,0,2,14,0,11,0,0,5,0,11,1,0,3,0,0,1,1,0,2,0,EMPATE
Botafogo,Santos,0,2,0,6,0,8,2,0,3,0,0,5,1,0,1,0,7,0,1,0,FORA
Internacional,Grêmio,0,8,0,16,0,5,0,1,2,0,5,0,0,3,0,5,0,1,0,0,EMPATE
Ceará,Palmeiras,0,10,0,16,0,1,0,12,7,0,0,2,0,10,0,7,0,6,12,0,CASA
CSA,Athletico PR,14,0,13,0,13,0,14,0,0,4,0,3,6,0,14,0,0,3,0,18,FORA
Bahia,Cruzeiro,8,0,11,0,6,0,0,6,0,9,0,1,3,0,0,2,0,1,7,0,EMPATE
Vasco da Gama,Fluminense,0,2,16,0,9,0,0,6,0,4,2,0,5,0,4,0,1,0,3,0,CASA
Fluminense,Ceará,24,0,23,0,21,0,5,0,0,8,2,0,4,0,2,0,9,0,0,3,EMPATE
Chapecoense,Atlético Mineiro,0,26,0,14,0,11,0,2,4,0,0,0,0,1,7,0,0,5,1,0,FORA
Cruzeiro,Botafogo,0,10,0,4,15,0,0,6,0,0,2,0,0,0,4,0,2,0,2,0,EMPATE
Corinthians,CSA,38,0,40,0,32,0,13,0,0,6,5,0,9,0,8,0,15,0,0,14,CASA
Athletico PR,Internacional,26,0,17,0,22,0,2,0,0,2,1,0,3,0,2,0,4,0,0,1,CASA
Flamengo,Goiás,32,0,24,0,23,0,4,0,0,6,10,0,6,0,0,4,11,0,0,0,CASA
São Paulo,Palmeiras,0,10,0,14,0,18,2,0,2,0,2,0,0,2,0,8,3,0,2,0,EMPATE
Bahia,Santos,0,16,0,21,0,10,0,0,9,0,0,2,0,1,0,0,0,2,1,0,FORA
Grêmio,Vasco da Gama,16,0,31,0,28,0,0,5,0,3,0,1,0,0,7,0,0,2,3,0,CASA
Fortaleza,Avaí,0,20,0,20,0,14,0,3,3,0,0,1,0,2,0,7,0,6,3,0,CASA
Atlético Mineiro,São Paulo,34,0,49,0,25,0,4,0,0,10,5,0,7,0,11,0,7,0,0,4,EMPATE
Palmeiras,Avaí,12,0,0,1,5,0,9,0,5,0,1,0,0,1,0,4,8,0,0,7,CASA
Chapecoense,Fluminense,0,26,0,6,0,3,10,0,0,4,2,0,4,0,0,0,2,0,0,5,EMPATE
Goiás,Athletico PR,0,30,0,36,0,22,0,3,0,0,0,4,2,0,0,5,0,4,4,0,CASA
